DCA License Number,License Type,License Expiration Date,License Status,License Creation Date,Industry,Business Name,Business Name 2,Address Building,Address Street Name,Secondary Address Street Name,Address City,Address State,Address ZIP,Contact Phone Number,Address Borough,Borough Code,Community Board,Council District,BIN,BBL,NTA,Census Tract,Detail,Longitude,Latitude,Location
2066708-1-DCA,Business,12/31/2021,Active,02/23/2018,Tobacco Retail Dealer,BEER CAVE & MART CORP,,601,E FORDHAM RD,,BRONX,NY,10458,7185635950,Bronx,2,206,15,2016261,2032730257,BX06,397,,-73.88501274569022,40.85839261183536,"(40.85839261183536, -73.88501274569022)"
2040247-1-DCA,Business,12/31/2021,Active,07/13/2016,Tobacco Retail Dealer,madhuben patel,,N/E/C,6 AVENUE,WEST   46 STREET,NEW YORK,NY,10036,2123025920,Manhattan,1,105,04,,,,,,-73.98225540711462,40.75738784087671,"(40.75738784087671, -73.98225540711462)"
2095762-1-DCA,Business,12/31/2021,Active,05/28/2020,Tobacco Retail Dealer,DARDANIA MINI MART CORP,,460,BRADLEY AVE,,STATEN ISLAND,NY,10314,6463995622,Staten Island,5,502,49,5021261,5008240068,,,,-74.13101638291955,40.59964928525426,"(40.59964928525426, -74.13101638291955)"
1471302-DCA,Business,12/31/2022,Active,08/13/2013,Tobacco Retail Dealer,ME QUICK STOP GROCERY & CANDY CORP,,4314,BROADWAY,,NEW YORK,NY,10033,646-243-0757,Manhattan,1,112,10,1063930,1021640042,MN35,271,,-73.9348524884686,40.85188265950567,"(40.85188265950567, -73.9348524884686)"
1448067-DCA,Business,12/31/2021,Active,10/17/2012,Tobacco Retail Dealer,SUNSHINE EXPRESS DELI INC.,,986A,GATES AVE,,BROOKLYN,NY,11221,347-722-4832,Brooklyn,3,303,41,3332200,3016380044,BK35,385,,-73.92459769250969,40.68919570170771,"(40.68919570170771, -73.92459769250969)"
1422615-DCA,Business,12/31/2021,Active,03/22/2012,Tobacco Retail Dealer,9-11 DELI CORP.,WHOLESOME FOOD,9,W 110TH ST,,NEW YORK,NY,10026,917-349-1150,Manhattan,1,110,09,1051397,1015940029,MN11,186,,-73.9504181922386,40.79739131283645,"(40.79739131283645, -73.9504181922386)"
2032244-1-DCA,Business,12/31/2021,Active,01/07/2016,Tobacco Retail Dealer,MICHAEL'S DELI CORP,XPRESS MART,745,WHITE PLAINS RD,,BRONX,NY,10473,347-270-1929,Bronx,2,209,18,2092714,2036000004,BX09,16,,-73.85814498119129,40.821457302132906,"(40.821457302132906, -73.85814498119129)"
1440563-DCA,Business,12/31/2021,Active,08/10/2012,Tobacco Retail Dealer,VALERY GROCERY CORP.,,19102,JAMAICA AVE,,HOLLIS,NY,11423,718-468-8179,Queens,4,412,27,4231488,4108200031,QN07,500,,-73.76856620701805,40.712548840082704,"(40.712548840082704, -73.76856620701805)"
1377819-DCA,Business,12/31/2021,Active,11/29/2010,Tobacco Retail Dealer,88 DELI GROCERY INC.,,8801,JAMAICA AVE,,WOODHAVEN,NY,11421,718-849-5906,Queens,4,409,32,4181888,4088630100,QN53,14,,-73.85641038341824,40.692682558641174,"(40.692682558641174, -73.85641038341824)"
2097997-2-DCA,Business,12/31/2022,Active,03/10/2021,Tobacco Retail Dealer,S & E DELI LLC,,211,HARRISON AVE,,BROOKLYN,NY,11206,7189632065,Brooklyn,3,301,33,3061462,3022720001,,,,-73.94723741430855,40.70023953411017,"(40.70023953411017, -73.94723741430855)"
