zip,percentage
10451, 36.1%
10452, 36.2%
10453, 37.8%
10454, 43.1%
10455, 38.1%
10456, 37.2%
10457, 37.1%
10458, 34%
10459, 33.6%
10460, 35.6%
10461, 15.4%
10462, 19.1%
10463, 16.7%
10464, 7.1%
10465, 12.7%
10466, 17.8%
10467, 25.2%
10468, 29.8%
10469, 15.6%
10470, 12.5%
10471, 9.3%
10472, 31.2%
10473, 26.5%
10474, 47.9%
10475, 11.3%
10550, 17.5%
10704, 7.9%
10705, 16.9%
10803, 4.1%
10001, 13.1%
10002, 27.4%
10003, 9.2%
10004, 1.3%
10005, 9.5%
10006, 3.4%
10007, 2.2%
10009, 23.5%
10010, 10.8%
10011, 9.9%
10012, 11.1%
10013, 10.7%
10014, 5.8%
10016, 8.2%
10017, 6.5%
10018, 14.2%
10019, 12.8%
10020, 0
10021, 5.2%
10022, 4%
10023, 8%
10024, 7.4%
10025, 14.3%
10026, 23.1%
10027, 25.3%
10028, 5.3%
10029, 32.9%
10030, 27.6%
10031, 22%
10032, 20.8%
10033, 17.6%
10034, 18.2%
10035, 36.8%
10036, 14.3%
10037, 25.2%
10038, 18.6%
10039, 25.5%
10040, 21%
10044, 10.6%
10065, 5.9%
10069, 9.3%
10075, 2.5%
10103, 0
10110, 0
10111, 0
10112, 0
10115, 0
10119, 0
10128, 6%
10152, 0
10153, 0
10154, 0
10162, 21.5%
10165, 0
10167, 0
10168, 0
10169, 0
10170, 0
10171, 0
10172, 0
10173, 0
10174, 0
10177, 0
10199, 0
10271, 0
10278, 0
10279, 0
10280, 4.9%
10282, 2.3%
10463, 16.7%
11201, 12.4%
11001, 3.2%
11004, 6.1%
11005, 13.5%
11040, 3.2%
11096, 15.1%
11101, 16.9%
11102, 16.1%
11103, 11.5%
11104, 10.1%
11105, 9.3%
11106, 12.6%
11109, 2.8%
11239, 24.8%
11351, 0
11354, 19.8%
11355, 21.8%
11356, 9.9%
11357, 5.3%
11358, 9.3%
11359, 0
11360, 7.2%
11361, 8.1%
11362, 6%
11363, 7%
11364, 7.4%
11365, 12.2%
11366, 11.5%
11367, 14.5%
11368, 19.7%
11369, 15.2%
11370, 11.6%
11371, 0
11372, 12.8%
11373, 13.1%
11374, 13.7%
11375, 8.4%
11377, 10.8%
11378, 8.7%
11379, 7.5%
11385, 10.7%
11411, 4.1%
11412, 8.2%
11413, 6.8%
11414, 9.7%
11415, 10.1%
11416, 14.1%
11417, 13.4%
11418, 15%
11419, 11.5%
11420, 10.8%
11421, 10.4%
11422, 6.4%
11423, 9.2%
11424, 0
11425, 0
11426, 7.7%
11427, 8.5%
11428, 7.6%
11429, 8%
11430, 72.8%
11432, 14.8%
11433, 16.4%
11434, 9.5%
11435, 13.5%
11436, 11.2%
11451, 0
11559, 4.9%
11580, 4.8%
11691, 19.4%
11692, 25.6%
11693, 14.3%
11694, 11.2%
11697, 2.7%
10301, 18.7%
10302, 16.9%
10303, 23%
10304, 21.6%
10305, 12.3%
10306, 9.2%
10307, 4.7%
10308, 4.4%
10309, 6.6%
10310, 16.4%
10311, 0
10312, 5.9%
10314, 9.1%
11209, 11%
10112, 0
10168, 0
11217, 13.3%
11216, 17%
11221, 21.3%
10103, 0
11219, 35%
11210, 11.8%
11224, 28.1%
10153, 0
11208, 25.7%
11238, 11.9%
11229, 13.6%
11228, 12.1%
11212, 34.4%
10271, 0
11237, 29.1%
11235, 17.1%
11231, 14.7%
11222, 10.2%
11230, 19.9%
11203, 14.6%
11232, 20.2%
10170, 0
11226, 15.7%
11215, 7.1%
10165, 0
10172, 0
11218, 18.5%
11220, 27.3%
10020, 0
11211, 25.2%
11214, 16.3%
11213, 22.7%
11205, 27.7%
10154, 0
11234, 7.5%
11225, 17.3%
10119, 0
11223, 18.7%
11207, 28.5%
11204, 20.8%
11206, 34.9%
11371, 0
11236, 12.5%
11233, 27.1%
