zip,percentage,tobacco,alcohol
10451,36.1,30,26
10452,36.2,54,31
10453,37.8,43,28
10454,43.1,23,17
10455,38.1,21,18
10456,37.2,45,28
10457,37.1,59,32
10458,34.0,66,21
10459,33.6,35,22
10460,35.6,42,20
10461,15.4,57,22
10462,19.1,45,21
10463,16.7,31,13
10463,16.7,31,13
10464,7.1,4,3
10465,12.7,17,13
10466,17.8,29,13
10467,25.2,71,32
10468,29.8,39,23
10469,15.6,29,10
10470,12.5,17,6
10471,9.3,12,4
10472,31.2,43,27
10473,26.5,18,13
10474,47.9,14,11
10475,11.3,13,5
10001,13.1,59,19
10002,27.4,54,32
10003,9.2,48,32
10004,1.3,19,6
10005,9.5,14,4
10006,3.4,6,4
10007,2.2,26,12
10009,23.5,40,23
10010,10.8,23,12
10011,9.9,40,17
10012,11.1,27,17
10013,10.7,43,25
10014,5.8,33,9
10016,8.2,44,29
10017,6.5,37,17
10018,14.2,54,24
10019,12.8,77,26
10020,0.0,2,2
10020,0.0,2,2
10021,5.2,25,21
10022,4.0,50,21
10023,8.0,26,14
10024,7.4,29,10
10025,14.3,45,24
10026,23.1,21,6
10027,25.3,38,15
10028,5.3,21,9
10029,32.9,48,27
10030,27.6,12,9
10031,22.0,32,21
10032,20.8,14,24
10033,17.6,24,18
10034,18.2,17,11
10035,36.8,27,18
10036,14.3,48,22
10037,25.2,13,3
10038,18.6,28,13
10039,25.5,16,5
10040,21.0,24,13
10044,10.6,1,2
10065,5.9,26,7
10075,2.5,13,2
10128,6.0,29,17
10165,0.0,1,1
10165,0.0,1,1
10168,0.0,1,1
10168,0.0,1,1
10170,0.0,1,1
10170,0.0,1,1
10282,2.3,1,1
11201,12.4,37,26
11004,6.1,4,3
11101,16.9,44,23
11102,16.1,25,8
11103,11.5,35,19
11104,10.1,24,11
11105,9.3,30,12
11106,12.6,27,18
11239,24.8,1,3
11354,19.8,30,14
11355,21.8,21,11
11356,9.9,10,8
11357,5.3,14,10
11358,9.3,15,10
11360,7.2,3,1
11361,8.1,16,9
11362,6.0,6,5
11363,7.0,2,2
11364,7.4,11,5
11365,12.2,13,3
11366,11.5,14,9
11367,14.5,13,5
11368,19.7,70,49
11369,15.2,10,8
11370,11.6,11,5
11372,12.8,39,25
11373,13.1,48,23
11374,13.7,19,13
11375,8.4,26,20
11377,10.8,52,35
11378,8.7,27,14
11379,7.5,18,6
11385,10.7,101,60
11411,4.1,7,8
11412,8.2,19,8
11413,6.8,13,10
11414,9.7,11,8
11415,10.1,9,4
11416,14.1,13,9
11417,13.4,27,7
11418,15.0,28,17
11419,11.5,26,23
11420,10.8,20,11
11421,10.4,17,14
11422,6.4,8,3
11423,9.2,13,4
11426,7.7,4,3
11427,8.5,6,5
11428,7.6,13,8
11429,8.0,8,6
11430,72.8,11,1
11432,14.8,36,23
11433,16.4,16,11
11434,9.5,28,15
11435,13.5,33,20
11436,11.2,8,4
11691,19.4,17,14
11693,14.3,10,8
11694,11.2,17,15
10301,18.7,26,11
10302,16.9,11,9
10303,23.0,15,11
10304,21.6,27,10
10305,12.3,25,9
10306,9.2,24,15
10307,4.7,6,4
10308,4.4,9,3
10309,6.6,14,10
10310,16.4,15,10
10312,5.9,24,11
10314,9.1,37,17
11209,11.0,49,29
11217,13.3,35,18
11216,17.0,34,23
11221,21.3,51,37
11219,35.0,29,12
11210,11.8,23,10
11224,28.1,13,10
11208,25.7,39,34
11238,11.9,40,34
11229,13.6,33,26
11228,12.1,26,12
11212,34.4,41,28
11237,29.1,53,24
11235,17.1,30,26
11231,14.7,26,13
11222,10.2,42,31
11230,19.9,33,18
11203,14.6,34,26
11232,20.2,26,25
11226,15.7,48,37
11215,7.1,50,22
11218,18.5,47,26
11220,27.3,48,45
11211,25.2,75,49
11214,16.3,45,25
11213,22.7,22,18
11205,27.7,25,22
11234,7.5,25,11
11225,17.3,31,19
11223,18.7,57,29
11207,28.5,60,37
11204,20.8,33,19
11206,34.9,35,37
11236,12.5,39,18
11233,27.1,36,22
