,B02001_001E,B02008_001E,B02009_001E,B02010_001E,B02011_001E,B02012_001E,B02013_001E,B03001_002E,B03001_003E,zipcode
"ZCTA5 10451: Summary level: unknown, state:36> zip code tabulation area:10451",48136,8209,21112,756,868,77,20080,18921,29215,10451
"ZCTA5 10452: Summary level: unknown, state:36> zip code tabulation area:10452",75452,12582,26391,911,1657,374,36778,23055,52397,10452
"ZCTA5 10453: Summary level: unknown, state:36> zip code tabulation area:10453",81716,9578,29228,931,1616,128,43236,25199,56517,10453
"ZCTA5 10454: Summary level: unknown, state:36> zip code tabulation area:10454",37212,6773,13180,565,198,35,17625,11974,25238,10454
"ZCTA5 10455: Summary level: unknown, state:36> zip code tabulation area:10455",41951,6471,13655,655,526,234,21817,11872,30079,10455
"ZCTA5 10456: Summary level: unknown, state:36> zip code tabulation area:10456",92717,13357,45346,1723,1141,260,34277,37909,54808,10456
"ZCTA5 10457: Summary level: unknown, state:36> zip code tabulation area:10457",74822,14585,35010,1002,1010,303,25496,24574,50248,10457
"ZCTA5 10458: Summary level: unknown, state:36> zip code tabulation area:10458",85620,16198,18517,662,3271,270,50429,24942,60678,10458
"ZCTA5 10459: Summary level: unknown, state:36> zip code tabulation area:10459",48780,6908,17325,661,398,75,25308,15211,33569,10459
"ZCTA5 10460: Summary level: unknown, state:36> zip code tabulation area:10460",59432,12135,21693,672,1301,213,25650,18518,40914,10460
"ZCTA5 10461: Summary level: unknown, state:36> zip code tabulation area:10461",49690,25779,6077,716,6601,205,13314,25757,23933,10461
"ZCTA5 10462: Summary level: unknown, state:36> zip code tabulation area:10462",75714,19726,23935,1374,11683,245,23139,40915,34799,10462
"ZCTA5 10463: Summary level: unknown, state:36> zip code tabulation area:10463",71132,36609,13844,1454,3622,84,20266,35444,35688,10463
"ZCTA5 10464: Summary level: unknown, state:36> zip code tabulation area:10464",4531,3242,1,0,227,0,1219,2627,1904,10464
"ZCTA5 10465: Summary level: unknown, state:36> zip code tabulation area:10465",43671,27021,6723,251,1382,20,9891,23550,20121,10465
"ZCTA5 10466: Summary level: unknown, state:36> zip code tabulation area:10466",75039,10036,54926,1444,2604,70,8117,57436,17603,10466
"ZCTA5 10467: Summary level: unknown, state:36> zip code tabulation area:10467",101255,26942,38445,1333,6906,416,31918,48520,52735,10467
"ZCTA5 10468: Summary level: unknown, state:36> zip code tabulation area:10468",78881,13850,21414,1153,2286,333,42380,18288,60593,10468
"ZCTA5 10469: Summary level: unknown, state:36> zip code tabulation area:10469",72384,13831,42763,886,4930,169,12878,51414,20970,10469
"ZCTA5 10470: Summary level: unknown, state:36> zip code tabulation area:10470",15716,7007,6933,114,609,36,1546,12758,2958,10470
"ZCTA5 10471: Summary level: unknown, state:36> zip code tabulation area:10471",22422,16001,3056,164,1617,45,2701,16988,5434,10471
"ZCTA5 10472: Summary level: unknown, state:36> zip code tabulation area:10472",67948,10135,19979,1262,6352,106,32679,25364,42584,10472
"ZCTA5 10473: Summary level: unknown, state:36> zip code tabulation area:10473",59579,22980,25331,834,1129,92,12056,23065,36514,10473
"ZCTA5 10474: Summary level: unknown, state:36> zip code tabulation area:10474",12179,1442,5548,116,44,0,5523,4586,7593,10474
"ZCTA5 10475: Summary level: unknown, state:36> zip code tabulation area:10475",42818,7840,29464,1518,1351,14,5500,30394,12424,10475
"ZCTA5 10550: Summary level: unknown, state:36> zip code tabulation area:10550",37429,4581,28647,645,772,12,3782,31224,6205,10550
"ZCTA5 10704: Summary level: unknown, state:36> zip code tabulation area:10704",31683,21768,5020,121,2355,17,3127,23688,7995,10704
"ZCTA5 10705: Summary level: unknown, state:36> zip code tabulation area:10705",39944,17794,10070,1034,2605,155,10854,17982,21962,10705
"ZCTA5 10803: Summary level: unknown, state:36> zip code tabulation area:10803",12510,9942,1389,42,1297,4,451,10916,1594,10803
"ZCTA5 10001: Summary level: unknown, state:36> zip code tabulation area:10001",24117,16324,2001,287,5570,25,853,20376,3741,10001
