,B02001_001E,B02008_001E,B02009_001E,B02010_001E,B02011_001E,B02012_001E,B02013_001E,B03001_002E,B03001_003E,zipcode
"ZCTA5 11209: Summary level: unknown, state:36> zip code tabulation area:11209",67782,52014,3110,641,9913,168,4816,56206,11576,11209
"ZCTA5 10112: Summary level: unknown, state:36> zip code tabulation area:10112",0,0,0,0,0,0,0,0,0,10112
"ZCTA5 10168: Summary level: unknown, state:36> zip code tabulation area:10168",0,0,0,0,0,0,0,0,0,10168
"ZCTA5 11217: Summary level: unknown, state:36> zip code tabulation area:11217",41813,26031,9341,375,4575,53,3629,34789,7024,11217
"ZCTA5 11216: Summary level: unknown, state:36> zip code tabulation area:11216",57786,20347,32823,590,3956,21,2969,51305,6481,11216
"ZCTA5 11221: Summary level: unknown, state:36> zip code tabulation area:11221",83322,25213,40888,1288,3717,106,15682,55066,28256,11221
"ZCTA5 10103: Summary level: unknown, state:36> zip code tabulation area:10103",0,0,0,0,0,0,0,0,0,10103
"ZCTA5 11219: Summary level: unknown, state:36> zip code tabulation area:11219",89371,60258,1359,486,21600,18,6593,77540,11831,11219
"ZCTA5 11210: Summary level: unknown, state:36> zip code tabulation area:11210",64665,21122,38758,201,3216,53,2656,60375,4290,11210
"ZCTA5 11224: Summary level: unknown, state:36> zip code tabulation area:11224",45795,27467,10754,418,3857,50,4751,37189,8606,11224
"ZCTA5 10153: Summary level: unknown, state:36> zip code tabulation area:10153",0,0,0,0,0,0,0,0,0,10153
"ZCTA5 11208: Summary level: unknown, state:36> zip code tabulation area:11208",101313,28735,55664,715,6787,122,11673,60204,41109,11208
"ZCTA5 11238: Summary level: unknown, state:36> zip code tabulation area:11238",55210,30225,20339,412,4809,177,2750,49190,6020,11238
"ZCTA5 11229: Summary level: unknown, state:36> zip code tabulation area:11229",83119,55312,5667,251,20806,48,3464,73895,9224,11229
"ZCTA5 11228: Summary level: unknown, state:36> zip code tabulation area:11228",44348,24718,861,363,16938,57,2485,38838,5510,11228
"ZCTA5 11212: Summary level: unknown, state:36> zip code tabulation area:11212",75605,8002,62336,457,1169,119,6120,61087,14518,11212
"ZCTA5 10271: Summary level: unknown, state:36> zip code tabulation area:10271",0,0,0,0,0,0,0,0,0,10271
"ZCTA5 11237: Summary level: unknown, state:36> zip code tabulation area:11237",48876,19509,7603,736,3976,177,18850,17822,31054,11237
"ZCTA5 11235: Summary level: unknown, state:36> zip code tabulation area:11235",78775,62138,2075,265,13264,61,4027,72736,6039,11235
"ZCTA5 11231: Summary level: unknown, state:36> zip code tabulation area:11231",37874,26735,6496,491,3276,325,2515,31576,6298,11231
"ZCTA5 11222: Summary level: unknown, state:36> zip code tabulation area:11222",36872,31974,1789,239,2436,15,2252,31201,5671,11222
"ZCTA5 11230: Summary level: unknown, state:36> zip code tabulation area:11230",86139,63440,6926,658,13376,76,4418,77341,8798,11230
"ZCTA5 11203: Summary level: unknown, state:36> zip code tabulation area:11203",76085,3989,68503,435,1848,0,2655,71200,4885,11203
"ZCTA5 11232: Summary level: unknown, state:36> zip code tabulation area:11232",26430,12847,2479,609,5307,70,6470,13235,13195,11232
"ZCTA5 10170: Summary level: unknown, state:36> zip code tabulation area:10170",0,0,0,0,0,0,0,0,0,10170
"ZCTA5 11226: Summary level: unknown, state:36> zip code tabulation area:11226",99558,17525,68819,554,4134,35,10831,83230,16328,11226
"ZCTA5 11215: Summary level: unknown, state:36> zip code tabulation area:11215",69873,57406,4505,534,8048,104,3479,59393,10480,11215
"ZCTA5 10165: Summary level: unknown, state:36> zip code tabulation area:10165",0,0,0,0,0,0,0,0,0,10165
"ZCTA5 10172: Summary level: unknown, state:36> zip code tabulation area:10172",0,0,0,0,0,0,0,0,0,10172
"ZCTA5 11218: Summary level: unknown, state:36> zip code tabulation area:11218",72413,46490,7200,834,15362,95,6123,59968,12445,11218
"ZCTA5 11220: Summary level: unknown, state:36> zip code tabulation area:11220",93170,31120,3691,806,39420,29,21061,54659,38511,11220
"ZCTA5 10020: Summary level: unknown, state:36> zip code tabulation area:10020",0,0,0,0,0,0,0,0,0,10020
